Semana,DÃ­a,Fecha,Cliente,Localidad,Lat,Lon,Horas,Tiempo_Desplazamiento_min,id_tecnico
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,38.85,1
1,Viernes,01/08/2025,3,Vitoria,42.433119817282204,-2.950749636445161,6.0,38.85,1
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,38.9,1
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,7.81,2
1,Viernes,01/08/2025,1,Haro,42.5681060494229,-2.858152511919005,0.5,7.81,2
1,Viernes,01/08/2025,5,Agoncillo,42.56905422294487,-2.8582383426018674,0.5,44.86,2
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,40.56,2
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,7.81,3
1,Viernes,01/08/2025,1,Haro,42.5681060494229,-2.858152511919005,0.5,7.81,3
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,7.86,3
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,61.41,4
2,Lunes,04/08/2025,7,Sesma,42.889614724865645,-2.138824319888948,6.0,61.41,4
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,59.5,4
