Semana,Día,Fecha,Cliente,Localidad,Lat,Lon,Horas,Tiempo_Desplazamiento_min,id_tecnico
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,1
1,Viernes,01/08/2025,3,Sto. Domingo,42.4331198173,-2.9507496364,6.0,23.06,1
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,23.0,1
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,1
2,Lunes,04/08/2025,10,San Vicente,42.5572312376,-2.7562253783,5.5,11.58,1
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,11.59,1
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,1
2,Martes,05/08/2025,22,Nalda,42.3345475529,-2.4836896935,5.0,42.45,1
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,40.23,1
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,1
2,Miércoles,06/08/2025,25,El Rasillo,42.1947609923,-2.7015883235,5.0,63.73,1
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,61.62,1
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,1
2,Jueves,07/08/2025,26,Nieva,42.2190153884,-2.6669882497,5.0,59.62,1
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,57.51,1
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,1
2,Viernes,08/08/2025,21,Sotes,42.397280237,-2.6042157809,3.5,31.74,1
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,31.93,1
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
1,Viernes,01/08/2025,4,Durana,42.8870262694,-2.639513913,6.0,38.87,2
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,40.84,2
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
2,Lunes,04/08/2025,6,Vitoria,42.8374003647,-2.670094585,6.0,38.85,2
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,38.9,2
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
2,Martes,05/08/2025,7,Urdiain,42.8896147249,-2.1388243199,6.0,60.65,2
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,61.05,2
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
2,Miércoles,06/08/2025,11,Alsasua,42.892317106,-2.1604116907,6.0,60.38,2
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,59.74,2
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
2,Jueves,07/08/2025,48,Araia,42.886863254,-2.313917077,6.0,56.51,2
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,55.9,2
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
2,Viernes,08/08/2025,18,Nanclares,42.8151653301,-2.8168162684,5.5,30.94,2
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,30.53,2
3,Lunes,11/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
3,Lunes,11/08/2025,19,Salinas,42.8025433045,-2.9882562589,5.5,43.62,2
3,Lunes,11/08/2025,0,Ollauri,42.539,-2.848,0.0,43.7,2
3,Martes,12/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
3,Martes,12/08/2025,6,Vitoria,42.8374003647,-2.670094585,6.0,38.85,2
3,Martes,12/08/2025,0,Ollauri,42.539,-2.848,0.0,38.9,2
3,Miércoles,13/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,2
3,Miércoles,13/08/2025,6,Vitoria,42.8374003647,-2.670094585,6.0,38.85,2
3,Miércoles,13/08/2025,0,Ollauri,42.539,-2.848,0.0,38.9,2
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,3
1,Viernes,01/08/2025,24,Pradejón,42.3316274889,-2.0650808955,6.0,52.26,3
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,52.77,3
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,3
2,Lunes,04/08/2025,45,Lerín,42.4834511477,-1.9662847839,6.0,77.26,3
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,75.52,3
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,3
2,Martes,05/08/2025,44,Sesma,42.4759661032,-2.0849399201,6.0,61.41,3
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,59.5,3
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,3
2,Miércoles,06/08/2025,31,Agoncillo,42.4496338297,-2.2943488736,6.0,41.21,3
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,40.56,3
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,3
2,Jueves,07/08/2025,46,Los Arcos,42.5739826465,-2.1932569768,6.0,52.58,3
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,49.65,3
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,3
2,Viernes,08/08/2025,9,Logroño,42.4501317777,-2.447886556,4.5,33.02,3
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,32.74,3
3,Lunes,11/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,3
3,Lunes,11/08/2025,9,Logroño,42.4501317777,-2.447886556,4.5,33.02,3
3,Lunes,11/08/2025,0,Ollauri,42.539,-2.848,0.0,32.74,3
3,Martes,12/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,3
3,Martes,12/08/2025,9,Logroño,42.4501317777,-2.447886556,4.5,33.02,3
3,Martes,12/08/2025,0,Ollauri,42.539,-2.848,0.0,32.74,3
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
1,Viernes,01/08/2025,1,Haro,42.5681060494,-2.8581525119,2.5,7.81,4
1,Viernes,01/08/2025,29,Laguardia,42.5464231068,-2.5766050848,3.0,35.51,4
1,Viernes,01/08/2025,0,Ollauri,42.539,-2.848,0.0,31.5,4
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Lunes,04/08/2025,50,Fuenmayor,42.4676309677,-2.5557353552,3.0,23.36,4
2,Lunes,04/08/2025,1,Haro,42.5681060494,-2.8581525119,2.5,27.14,4
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,7.86,4
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Martes,05/08/2025,28,Cenicero,42.4870529625,-2.6326113023,2.5,18.75,4
2,Martes,05/08/2025,1,Haro,42.5681060494,-2.8581525119,2.5,22.45,4
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,7.86,4
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Miércoles,06/08/2025,37,Najera,42.4151674046,-2.7397754566,2.5,25.83,4
2,Miércoles,06/08/2025,28,Cenicero,42.4870529625,-2.6326113023,2.5,21.67,4
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,18.75,4
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Jueves,07/08/2025,36,Briones,42.5436362667,-2.781,2.5,5.91,4
2,Jueves,07/08/2025,29,Laguardia,42.5464231068,-2.5766050848,3.0,25.59,4
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,31.5,4
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Viernes,08/08/2025,28,Cenicero,42.4870529625,-2.6326113023,2.5,18.75,4
2,Viernes,08/08/2025,20,Miranda,42.6798199543,-2.9638868896,2.0,42.15,4
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,30.15,4
3,Lunes,11/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
3,Lunes,11/08/2025,20,Miranda,42.6798199543,-2.9638868896,2.0,31.93,4
3,Lunes,11/08/2025,1,Haro,42.5681060494,-2.8581525119,2.5,30.37,4
3,Lunes,11/08/2025,0,Ollauri,42.539,-2.848,0.0,7.86,4
